date,stockyard_id,material_type,inbound_tonnes,outbound_tonnes,closing_stock_tonnes
2023-01-01,SY1,HR_Coils,371.2999505825322,181.56692123126436,1189.7330293512678
2023-01-01,SY1,CR_Coils,464.1703534623479,285.50279715985744,1178.6675563024905
2023-01-01,SY1,Plates,471.8740650859157,199.4507324156371,1272.4233326702786
2023-01-01,SY1,Wire_Rods,307.7585804776798,117.2430108813486,1190.5155695963313
2023-01-01,SY1,TMT_Bars,164.8281410837601,189.2736277313986,975.5545133523615
2023-01-01,SY1,Pig_Iron,159.3986893997263,93.02891589118153,1066.3697735085448
2023-01-01,SY1,Billets,242.69719883875234,96.6867604850747,1146.0104383536775
2023-01-01,SY2,HR_Coils,300.691256552395,215.93737141195575,1084.753885140439
2023-01-01,SY2,CR_Coils,379.16023056841647,183.1945025423456,1195.9657280260708
2023-01-01,SY2,Plates,308.7196167263588,168.702782187369,1140.0168345389898
2023-01-01,SY2,Wire_Rods,198.1060856392087,213.56070791599265,984.545377723216
2023-01-01,SY2,TMT_Bars,362.81167565100463,113.95125226012595,1248.8604233908786
2023-01-01,SY2,Pig_Iron,380.2276090878422,264.5013328090139,1115.7262762788282
2023-01-01,SY2,Billets,337.8837598542833,79.38490533721503,1258.4988545170681
2023-01-01,SY3,HR_Coils,230.9042835064564,73.19698553920152,1157.707297967255
2023-01-01,SY3,CR_Coils,220.81243799285232,102.98606107806819,1117.826376914784
2023-01-01,SY3,Plates,321.85154666978394,155.88612228627022,1165.965424383514
2023-01-01,SY3,Wire_Rods,389.0736330682077,140.76058000819313,1248.3130530600147
2023-01-01,SY3,TMT_Bars,161.88826010741258,109.00622892129803,1052.8820311861145
2023-01-01,SY3,Pig_Iron,318.3132756866203,162.46370885619837,1155.849566830422
2023-01-01,SY3,Billets,117.04344327145421,102.4863750932061,1014.5570681782481
2023-01-01,SY4,HR_Coils,218.69459459167868,231.33988585427667,987.354708737402
2023-01-01,SY4,CR_Coils,392.17078101255873,224.4969032987501,1167.6738777138087
2023-01-01,SY4,Plates,427.38458603017267,268.46993023093444,1158.914655799238
