date,truck_id,truck_capacity_tonnes,destination,tonnes_transported,utilization_percent,freight_cost_rs,delivery_time_hours,truck_status
2023-01-01,TRUCK_0001,24.947948909110664,Patna,14.303486070075746,72.64449411410712,15296.993617945953,19.042478009529237,AVAILABLE
2023-01-01,TRUCK_0002,18.266160830736634,Ranchi,7.849303018896576,72.84666827458477,14437.672995531719,30.880768456142174,AVAILABLE
2023-01-01,TRUCK_0003,21.521854168079514,Patna,13.791419028103135,90.48908025651288,10207.524301109654,39.625379402329976,IN_TRANSIT
2023-01-01,TRUCK_0004,23.975828982753693,Ranchi,16.404984710544905,87.54556180590247,8347.109423723858,22.771616052043875,IN_TRANSIT
2023-01-01,TRUCK_0005,18.075044818454487,Kolkata,23.331981741080913,85.35065371746676,6678.452749769257,22.749987261330993,IN_TRANSIT
2023-01-01,TRUCK_0006,20.627124948621052,Ranchi,22.9313396099147,76.2927001373536,11969.79009642626,19.5281631126741,AVAILABLE
2023-01-01,TRUCK_0007,22.278668997621786,Haldia,12.17980947132496,70.33613795419907,8189.502144151744,44.64861353671948,AVAILABLE
2023-01-01,TRUCK_0008,21.528934136849045,Durgapur,8.11844686300843,81.75424646783652,6760.078673663695,21.42743988906276,AVAILABLE
2023-01-02,TRUCK_0009,21.574729896521575,Kolkata,17.033946681915584,71.29553010193408,13944.953775440388,15.552718347643573,AVAILABLE
2023-01-02,TRUCK_0010,20.908541886301347,Ranchi,15.343308718852967,92.03795323451035,5063.860307895307,14.014298150414838,AVAILABLE
2023-01-03,TRUCK_0011,24.82867832670845,Kolkata,6.1925044657840385,70.1729868820385,13782.474552024409,26.2967970053211,AVAILABLE
2023-01-03,TRUCK_0012,21.007249797201254,Durgapur,23.015256945848524,88.90042760822347,15583.705729953981,30.98942199235203,MAINTENANCE
2023-01-03,TRUCK_0013,24.592823208993615,Ranchi,20.956762229852067,77.92818708565626,23902.229100379867,47.550133183012335,IN_TRANSIT
2023-01-03,TRUCK_0014,23.336176977984984,Durgapur,14.41048923117088,83.40097135934855,7143.672019897851,46.100274756754374,AVAILABLE
2023-01-03,TRUCK_0015,23.051810843824413,Ranchi,10.25856540089459,75.2763941098611,8517.273959701848,31.003514121072428,AVAILABLE
2023-01-04,TRUCK_0016,21.8429707186978,Haldia,13.683411600894207,72.0061471450122,14395.717935976218,34.558472356553594,AVAILABLE
