date,route,congestion_level,weather_condition,temperature_celsius,rainfall_mm,visibility_km,traffic_incidents,average_speed_kmh,railway_disruption_flag
2023-01-01,Kolkata,0.3352730300419429,Clear,19.99369955626852,0.5331695280588961,9.241867343414146,0,52.34432454212697,0
2023-01-01,Patna,0.4330892657020381,Clear,32.55954171638737,3.1604492231559873,1.862349799040118,2,63.44489685377316,0
2023-01-01,Ranchi,0.2911344123139773,Stormy,35.17767323807717,4.191567582596053,5.9205426785839785,1,53.17540301455598,0
2023-01-01,Durgapur,0.23268227765612295,Clear,32.32295174924987,2.5328970492257485,16.40289679634087,1,45.34577083086595,0
2023-01-01,Haldia,0.6638749202614562,Foggy,26.14785069991548,2.9696651196866046,11.516822425885758,0,57.56473578536158,0
2023-01-02,Kolkata,0.21501978480490627,Rainy,37.48497208999933,4.571044906714385,17.169432959170905,0,74.35774218270453,0
2023-01-02,Patna,0.29682837065453915,Clear,20.150790466054072,4.369378382013387,14.987568680160324,3,45.32054418412394,0
2023-01-02,Ranchi,0.41407742595656893,Rainy,33.62818912608561,3.774989550294616,15.110968033351766,1,72.12857079920478,0
2023-01-02,Durgapur,0.35475095515484256,Rainy,27.68128001473263,2.0845090553202734,15.834594696759112,0,57.78672315975512,0
2023-01-02,Haldia,0.7123721929945287,Foggy,19.033403353548003,2.0716616180229988,5.317856043230641,1,49.59197806563273,0
2023-01-03,Kolkata,0.36949623528047093,Foggy,18.132219443535806,3.9676233675875325,19.338377882823483,1,70.48316699241826,0
2023-01-03,Patna,0.2324241413334462,Foggy,17.73301616753469,2.831533253526267,10.550961721280302,1,65.795210946695,0
2023-01-03,Ranchi,0.3656946726362632,Foggy,37.08602211454563,1.2642924309777859,17.718072561073406,2,55.145125330017706,0
2023-01-03,Durgapur,0.42617986160732524,Stormy,16.70968454019954,2.7085146333204424,11.412760477783609,1,46.37119630559462,0
2023-01-03,Haldia,0.7178147748479368,Stormy,29.295005518078572,3.62750898583665,6.289485343938164,1,59.82309022764771,1
2023-01-04,Kolkata,0.29705326413281163,Rainy,16.695811507992946,1.5926139546387668,4.243271729616957,2,60.919307258604235,0
2023-01-04,Patna,0.49696760450074284,Clear,16.838648895011506,1.2894592054137406,11.65394544480669,1,57.3568950546659,0
2023-01-04,Ranchi,0.24665693955856902,Stormy,31.82970715085007,2.6061005411344107,14.908618845279136,0,71.46498651456973,0
2023-01-04,Durgapur,0.22402577420637843,Foggy,32.563449289806336,0.19160138850042863,18.699840625985868,2,60.64676730836851,0
2023-01-04,Haldia,0.5555271182714939,Clear,17.722530617825857,2.903397345722803,7.525940686575894,0,58.39703602991925,0
2023-01-05,Kolkata,0.3850526641141524,Rainy,21.27692129175967,3.8525722907334483,2.018239199916838,1,64.87019332395994,0
2023-01-05,Patna,0.313328865594844,Clear,32.82050664305026,1.5005515969090273,9.176204134936595,1,58.03047650595704,0
2023-01-05,Ranchi,0.41457916376893017,Stormy,38.763784872980594,2.4852289411189963,4.211070768700523,2,50.93338724093051,0
2023-01-05,Durgapur,0.4868088945549689,Clear,24.856570297517308,4.189858404832947,11.318484312261642,1,40.35484135299804,0
2023-01-05,Haldia,0.6732227044744894,Foggy,31.175813705030137,3.7995107780403665,4.921683727188922,1,53.373443668010395,0
2023-01-06,Kolkata,0.46140742955659314,Foggy,34.709026751105625,1.8794155173415772,1.4636568008554205,0,73.02264236061214,0
2023-01-06,Patna,0.4005566335697453,Foggy,26.69734900465277,0.2113864434623164,10.558359060552593,2,64.11374149007374,0
2023-01-06,Ranchi,0.2637014700019405,Foggy,22.213439693222824,3.4621208206081673,4.493491161619449,1,51.78279709689228,0
