date,material_type,production_line,tonnes_produced,equipment_status
2023-01-01,HR_Coils,Line_1,3942.22041636599,OPERATIONAL
2023-01-01,HR_Coils,Line_2,3391.78554101749,OPERATIONAL
2023-01-01,HR_Coils,Line_3,5114.020979961078,OPERATIONAL
2023-01-01,HR_Coils,Line_4,3954.384068249077,OPERATIONAL
2023-01-01,CR_Coils,Line_1,5136.002615044127,OPERATIONAL
2023-01-01,CR_Coils,Line_2,3406.6405953329418,OPERATIONAL
2023-01-01,CR_Coils,Line_3,4509.542456406018,OPERATIONAL
2023-01-01,CR_Coils,Line_4,5668.5185089044735,OPERATIONAL
2023-01-01,Plates,Line_1,5130.052482552798,OPERATIONAL
2023-01-01,Plates,Line_2,6210.652016571947,OPERATIONAL
2023-01-01,Plates,Line_3,3221.328537457872,OPERATIONAL
2023-01-01,Plates,Line_4,4032.3559952400046,OPERATIONAL
2023-01-01,Wire_Rods,Line_1,5636.000825133864,OPERATIONAL
2023-01-01,Wire_Rods,Line_2,7475.158373199393,OPERATIONAL
2023-01-01,Wire_Rods,Line_3,6867.314924283687,OPERATIONAL
2023-01-01,Wire_Rods,Line_4,3794.8505276819833,OPERATIONAL
2023-01-01,TMT_Bars,Line_1,2676.366484209598,OPERATIONAL
2023-01-01,TMT_Bars,Line_2,5523.302929839274,OPERATIONAL
2023-01-01,TMT_Bars,Line_3,3558.4618864087397,OPERATIONAL
2023-01-01,TMT_Bars,Line_4,3365.417016033094,MAINTENANCE
2023-01-01,Pig_Iron,Line_1,6380.04047454315,OPERATIONAL
2023-01-01,Pig_Iron,Line_2,6528.955616540461,OPERATIONAL
2023-01-01,Pig_Iron,Line_3,3679.7862694033493,OPERATIONAL
2023-01-01,Pig_Iron,Line_4,4793.752774755059,OPERATIONAL
2023-01-01,Billets,Line_1,6335.822422967471,OPERATIONAL
2023-01-01,Billets,Line_2,3626.6576759176924,OPERATIONAL
2023-01-01,Billets,Line_3,6790.8573209093265,OPERATIONAL
2023-01-01,Billets,Line_4,5260.021943524636,OPERATIONAL
2023-01-02,HR_Coils,Line_1,2392.301277680679,OPERATIONAL
2023-01-02,HR_Coils,Line_2,7151.511704374083,OPERATIONAL
2023-01-02,HR_Coils,Line_3,4246.902527793559,OPERATIONAL
2023-01-02,HR_Coils,Line_4,4530.861453540685,OPERATIONAL
2023-01-02,CR_Coils,Line_1,6969.514775132695,OPERATIONAL
2023-01-02,CR_Coils,Line_2,6793.781634062472,OPERATIONAL
2023-01-02,CR_Coils,Line_3,7256.167060734799,OPERATIONAL
2023-01-02,CR_Coils,Line_4,4359.790546864871,OPERATIONAL
2023-01-02,Plates,Line_1,4548.607460237545,OPERATIONAL
2023-01-02,Plates,Line_2,2881.832186711953,OPERATIONAL
2023-01-02,Plates,Line_3,4471.885786804969,OPERATIONAL
2023-01-02,Plates,Line_4,6627.070387415105,OPERATIONAL
2023-01-02,Wire_Rods,Line_1,4603.634082739833,MAINTENANCE
2023-01-02,Wire_Rods,Line_2,7551.768549098092,OPERATIONAL
2023-01-02,Wire_Rods,Line_3,4452.728106351712,OPERATIONAL
2023-01-02,Wire_Rods,Line_4,4941.964246217993,OPERATIONAL
2023-01-02,TMT_Bars,Line_1,3444.792054716721,OPERATIONAL
2023-01-02,TMT_Bars,Line_2,3450.065165995447,OPERATIONAL
2023-01-02,TMT_Bars,Line_3,7326.250235795605,OPERATIONAL
2023-01-02,TMT_Bars,Line_4,3375.653887222419,OPERATIONAL
2023-01-02,Pig_Iron,Line_1,5173.735183816107,OPERATIONAL
2023-01-02,Pig_Iron,Line_2,4057.321956963585,OPERATIONAL
2023-01-02,Pig_Iron,Line_3,5136.422736726174,OPERATIONAL
2023-01-02,Pig_Iron,Line_4,5485.166941014813,OPERATIONAL
2023-01-02,Billets,Line_1,5848.859177828832,OPERATIONAL
2023-01-02,Billets,Line_2,6289.574489316299,OPERATIONAL
2023-01-02,Billets,Line_3,4185.8928913169375,OPERATIONAL
2023-01-02,Billets,Line_4,6546.949700071846,OPERATIONAL
2023-01-03,HR_Coils,Line_1,4956.356834509579,OPERATIONAL
2023-01-03,HR_Coils,Line_2,6498.73887010557,OPERATIONAL
2023-01-03,HR_Coils,Line_3,5005.817571327047,OPERATIONAL
2023-01-03,HR_Coils,Line_4,6114.7726190356925,OPERATIONAL
2023-01-03,CR_Coils,Line_1,5681.270719366588,OPERATIONAL
