date,dispatch_id,rake_id,route,material_type,tonnes_dispatched,delay_hours,status
2023-01-01,DISP_000001,RAKE_00011,Patna,CR_Coils,2283.106743246465,0.0,DELIVERED
2023-01-01,DISP_000002,RAKE_00397,Ranchi,Pig_Iron,2797.670070587521,1.5661086154786952,DISPATCHED
2023-01-02,DISP_000003,RAKE_00041,Durgapur,Pig_Iron,2149.7968305414665,0.0,DISPATCHED
2023-01-02,DISP_000004,RAKE_00137,Ranchi,Pig_Iron,3001.319368665104,0.0,DELIVERED
2023-01-03,DISP_000005,RAKE_00371,Kolkata,Plates,3493.400990614427,0.0,DISPATCHED
2023-01-03,DISP_000006,RAKE_00402,Patna,CR_Coils,2916.381144638529,0.0,DELIVERED
2023-01-03,DISP_000007,RAKE_00048,Patna,TMT_Bars,3030.911542051132,0.0,DELIVERED
2023-01-03,DISP_000008,RAKE_00403,Haldia,CR_Coils,3151.3308337922654,0.0,IN_TRANSIT
2023-01-04,DISP_000009,RAKE_00492,Patna,Wire_Rods,3617.5415227613034,0.0,DISPATCHED
2023-01-04,DISP_000010,RAKE_00341,Haldia,TMT_Bars,2681.604324836832,5.496136808360463,IN_TRANSIT
2023-01-04,DISP_000011,RAKE_00373,Haldia,Pig_Iron,2442.9280749656423,0.0,DELIVERED
2023-01-05,DISP_000012,RAKE_00221,Haldia,CR_Coils,2754.469282247543,0.0,DISPATCHED
2023-01-05,DISP_000013,RAKE_00448,Patna,Billets,3154.470464941288,0.0,IN_TRANSIT
2023-01-05,DISP_000014,RAKE_00100,Haldia,Plates,2477.076892204075,5.942925884088255,DISPATCHED
2023-01-05,DISP_000015,RAKE_00318,Ranchi,TMT_Bars,2507.9141305731537,0.0,DELIVERED
2023-01-06,DISP_000016,RAKE_00365,Ranchi,Plates,2976.7128047734805,0.0,DISPATCHED
2023-01-06,DISP_000017,RAKE_00478,Patna,Plates,3562.934503433037,0.0,IN_TRANSIT
2023-01-06,DISP_000018,RAKE_00364,Ranchi,HR_Coils,3462.5925119997682,0.0,DELIVERED
2023-01-07,DISP_000019,RAKE_00143,Haldia,Pig_Iron,3431.327555424009,6.974108296076713,IN_TRANSIT
2023-01-07,DISP_000020,RAKE_00285,Durgapur,CR_Coils,2243.4598208038874,0.0,DISPATCHED
2023-01-07,DISP_000021,RAKE_00127,Kolkata,HR_Coils,2065.5473464515176,0.0,DISPATCHED
2023-01-07,DISP_000022,RAKE_00438,Kolkata,CR_Coils,2289.8958364155164,0.0,DISPATCHED
2023-01-08,DISP_000023,RAKE_00352,Haldia,CR_Coils,3343.5323563062407,0.0,DELIVERED
2023-01-08,DISP_000024,RAKE_00085,Haldia,Wire_Rods,2745.60510550012,0.0,IN_TRANSIT
2023-01-08,DISP_000025,RAKE_00104,Ranchi,Billets,2258.802135850909,0.0,DISPATCHED
2023-01-08,DISP_000026,RAKE_00112,Patna,HR_Coils,3024.8628145067487,0.0,DISPATCHED
2023-01-09,DISP_000027,RAKE_00260,Ranchi,Billets,3201.5758885306886,2.3722029387986527,DELIVERED
2023-01-09,DISP_000028,RAKE_00316,Haldia,Wire_Rods,2759.2210680834824,0.0,IN_TRANSIT
2023-01-09,DISP_000029,RAKE_00050,Kolkata,Wire_Rods,3610.9081666637408,1.2387193432182857,DISPATCHED
2023-01-09,DISP_000030,RAKE_00406,Patna,Billets,2079.009404058726,0.0,IN_TRANSIT
2023-01-10,DISP_000031,RAKE_00403,Haldia,TMT_Bars,2126.993977624176,0.0,DISPATCHED
2023-01-10,DISP_000032,RAKE_00240,Durgapur,Wire_Rods,3273.853063456192,1.535422815645142,IN_TRANSIT
2023-01-10,DISP_000033,RAKE_00038,Haldia,Pig_Iron,2467.5831982260815,0.0,IN_TRANSIT
2023-01-10,DISP_000034,RAKE_00281,Durgapur,HR_Coils,2638.8288952854496,0.0,DELIVERED
2023-01-11,DISP_000035,RAKE_00295,Haldia,Billets,3044.5729747251307,0.0,IN_TRANSIT
2023-01-11,DISP_000036,RAKE_00308,Ranchi,Pig_Iron,3569.411107889937,1.2976372771482412,DISPATCHED
2023-01-11,DISP_000037,RAKE_00468,Ranchi,Billets,3480.080641273771,2.750457788997123,DELIVERED
2023-01-12,DISP_000038,RAKE_00305,Kolkata,HR_Coils,3216.1446917081016,0.0,DELIVERED
2023-01-12,DISP_000039,RAKE_00345,Patna,TMT_Bars,2622.498142385812,0.0,DISPATCHED
