date,rake_id,arrival_time,wagons_count,status,cycle_time_hours
2023-01-01,RAKE_00001,00:47,59,AVAILABLE,18.13694769608293
2023-01-01,RAKE_00002,09:30,58,AVAILABLE,40.31733859057378
2023-01-01,RAKE_00003,08:10,59,UNDER_LOADING,31.71562266928249
2023-01-01,RAKE_00004,17:28,58,AVAILABLE,42.66033828278513
2023-01-02,RAKE_00005,02:25,59,AVAILABLE,33.14254297917489
2023-01-02,RAKE_00006,14:31,58,AVAILABLE,21.33262043053499
2023-01-03,RAKE_00007,05:50,59,AVAILABLE,33.29234430320183
2023-01-03,RAKE_00008,01:33,59,AVAILABLE,31.747006679595685
2023-01-03,RAKE_00009,17:21,59,AVAILABLE,45.26144592225214
2023-01-03,RAKE_00010,15:44,58,UNDER_LOADING,31.766476956158087
2023-01-04,RAKE_00011,15:27,58,AVAILABLE,18.26986177016461
2023-01-04,RAKE_00012,08:11,59,AVAILABLE,34.15866273001242
2023-01-04,RAKE_00013,02:35,58,AVAILABLE,40.087576770636545
2023-01-04,RAKE_00014,19:50,59,AVAILABLE,46.67117466287499
2023-01-05,RAKE_00015,08:23,59,AVAILABLE,23.34001862318017
2023-01-05,RAKE_00016,20:56,59,AVAILABLE,23.348030764644342
2023-01-05,RAKE_00017,12:45,58,AVAILABLE,44.90167149040745
2023-01-05,RAKE_00018,19:29,58,AVAILABLE,35.41412401267829
2023-01-05,RAKE_00019,03:39,59,UNDER_LOADING,47.821862196083586
2023-01-05,RAKE_00020,15:41,59,AVAILABLE,27.311515924627535
2023-01-05,RAKE_00021,05:43,59,UNDER_LOADING,45.652425441604635
2023-01-06,RAKE_00022,11:29,58,AVAILABLE,43.51666565071626
2023-01-06,RAKE_00023,06:11,58,UNDER_LOADING,30.023337539508105
2023-01-06,RAKE_00024,00:06,58,AVAILABLE,37.39387061732877
2023-01-06,RAKE_00025,18:06,59,AVAILABLE,43.723326608024934
2023-01-07,RAKE_00026,14:18,59,AVAILABLE,26.736288711404875
2023-01-07,RAKE_00027,05:55,58,AVAILABLE,37.174085673326985
2023-01-07,RAKE_00028,10:23,59,UNDER_LOADING,40.73751219827098
2023-01-08,RAKE_00029,07:47,59,AVAILABLE,19.099829796031607
2023-01-08,RAKE_00030,04:09,58,AVAILABLE,18.45795515247787
2023-01-08,RAKE_00031,14:02,58,UNDER_LOADING,41.08084826846711
2023-01-08,RAKE_00032,06:00,59,AVAILABLE,28.33027156581944
2023-01-08,RAKE_00033,10:38,58,AVAILABLE,26.48705040645671
2023-01-09,RAKE_00034,18:22,58,AVAILABLE,27.157413761405575
2023-01-09,RAKE_00035,13:53,59,AVAILABLE,29.134166915798236
2023-01-09,RAKE_00036,08:59,58,AVAILABLE,26.994888262014054
2023-01-09,RAKE_00037,10:05,59,AVAILABLE,18.30204634258242
2023-01-10,RAKE_00038,20:11,59,AVAILABLE,29.65018174748291
2023-01-10,RAKE_00039,13:30,59,AVAILABLE,24.753456957288094
2023-01-10,RAKE_00040,03:13,59,AVAILABLE,45.43558975903569
2023-01-10,RAKE_00041,03:39,58,AVAILABLE,34.9748875593957
2023-01-11,RAKE_00042,06:40,58,UNDER_LOADING,36.75458892624166
2023-01-11,RAKE_00043,10:49,59,UNDER_LOADING,23.984674330668387
2023-01-11,RAKE_00044,01:19,58,AVAILABLE,20.268898900232532
